seq,group,intent,expected_text,raw_asr,success,notes
1,重启路由器,router_reboot,重启路由器,,
2,重启路由器,router_reboot,重启路由,,
3,重启路由器,router_reboot,重启网络,,
4,重启路由器,router_reboot,网络卡了重启一下,,
5,重启路由器,router_reboot,路由器死机了重启一下,,
6,WiFi开关,router_wifi_restart,重启WiFi,,
7,WiFi开关,router_wifi_restart,打开WiFi,,
8,WiFi开关,router_wifi_restart,关闭WiFi,,
9,WiFi开关,router_wifi_restart,WiFi连不上重启一下,,
10,WiFi配置,router_wifi_config,WiFi密码多少,,
11,WiFi配置,router_wifi_config,改WiFi密码,,
12,WiFi配置,router_wifi_config,WiFi改个名字,,
13,WiFi配置,router_wifi_config,打开访客网络,,
14,WiFi配置,router_wifi_config,关闭访客网络,,
15,WiFi配置,router_wifi_config,切换到5G频段,,
16,网络查询,router_network_query,IP地址是多少,,
17,网络查询,router_network_query,谁连了WiFi,,
18,网络查询,router_network_query,连了几个设备,,
19,网络查询,router_network_query,网速怎么样,,
20,网络查询,router_network_query,路由器运行多久了,,
21,网络查询,router_network_query,内存剩多少,,
22,网络查询,router_network_query,CPU负载多少,,
23,指示灯,router_led_control,关闭路由器灯,,
24,指示灯,router_led_control,打开路由器灯,,
25,设备管理,router_device_manage,踢掉这个设备,,
26,设备管理,router_device_manage,拉黑这部手机,,
27,设备管理,router_device_manage,取消拉黑这个设备,,
28,设备管理,router_device_manage,查看黑名单,,
29,网络诊断,router_network_diag,测一下网速,,
30,网络诊断,router_network_diag,Ping一下,,
31,网络诊断,router_network_diag,延迟多少,,
32,网络诊断,router_network_diag,网络诊断,,
33,网络诊断,router_network_diag,DNS正常吗,,
34,系统运维,router_system,检查固件更新,,
35,系统运维,router_system,备份配置,,
36,系统运维,router_system,恢复出厂设置,,
37,系统运维,router_system,查看系统日志,,
38,系统运维,router_system,设置定时重启,,
39,QoS带宽,router_qos,打开QoS,,
40,QoS带宽,router_qos,关闭QoS,,
41,QoS带宽,router_qos,限制这台电脑的网速,,
42,QoS带宽,router_qos,给游戏机优先,,
43,安全策略,router_security,打开防火墙,,
44,安全策略,router_security,关闭防火墙,,
45,安全策略,router_security,打开家长控制,,
46,安全策略,router_security,打开VPN,,
47,安全策略,router_security,防蹭网,,
